file,method,n,m,seed,tol,max_iter,msign_steps,theta_source,power_iters,lambda,abs_f,iters,time_ms,converged,ortho_err,bracket_lo,bracket_hi
avg-bisection-4096x128,bisection,4096,128,avg,0.0001,50,10,svd,30,0.880208,5.20467e-05,5,6.38667,True,-,-,-
avg-brent-4096x128,brent,4096,128,avg,0.0001,50,10,svd,30,0.875517,3.80217e-05,2.66667,2.09333,True,-,-,-
avg-fixed_point-4096x128,fixed_point,4096,128,avg,0.0001,50,10,svd,30,0.875756,5.03e-05,4.33333,139.59,True,-,-,-
avg-secant-4096x128,secant,4096,128,avg,0.0001,50,10,svd,30,0.872567,3.46483e-05,3.33333,4.29667,True,-,-,-
