file,method,n,m,seed,tol,max_iter,msign_steps,theta_source,power_iters,lambda,abs_f,iters,time_ms,converged,ortho_err,bracket_lo,bracket_hi
avg-bisection-128x128,bisection,128,128,avg,0.0001,50,10,svd,30,0.791992,5.34567e-05,9,10.1667,True,-,-,-
avg-brent-128x128,brent,128,128,avg,0.0001,50,10,svd,30,1.15622,7.09e-05,10,10.1,True,-,-,-
avg-fixed_point-128x128,fixed_point,128,128,avg,0.0001,50,10,svd,30,1.15211,2.409e-05,21,153.06,True,-,-,-
avg-secant-128x128,secant,128,128,avg,0.0001,50,10,svd,30,0.799202,3.2167e-05,16.3333,18.9367,True,-,-,-
